MSE_Loss,PDE_Loss,BC_Loss,Data_Loss
1087.748779296875,1.0955632205877919e-05,667.906982421875,419.84173583984375
1087.50048828125,1.1094348337792326e-05,667.7598876953125,419.74053955078125
1087.2481689453125,1.1237548278586473e-05,667.6106567382812,419.6375427246094
1086.99072265625,1.1325583727739286e-05,667.4580078125,419.53277587890625
1086.728271484375,1.1450263627921231e-05,667.302001953125,419.4262390136719
1086.460693359375,1.1601023288676515e-05,667.1428833007812,419.3177490234375
1086.18798828125,1.1760055713239126e-05,666.980712890625,419.207275390625
1085.9097900390625,1.1948738574574236e-05,666.8151245117188,419.0946350097656
1085.6260986328125,1.2199691809655633e-05,666.6461791992188,418.97991943359375
1085.3370361328125,1.2505120139394421e-05,666.4742431640625,418.8628234863281
1085.04296875,1.283910205529537e-05,666.2994384765625,418.74346923828125
1084.7430419921875,1.3227161616669036e-05,666.121337890625,418.6217346191406
1084.437744140625,1.3690885680262e-05,665.9400024414062,418.49774169921875
1084.126708984375,1.4111418749962468e-05,665.7552490234375,418.3714294433594
1083.8101806640625,1.4493452908936888e-05,665.5675048828125,418.24267578125
1083.488037109375,1.480167884437833e-05,665.3766479492188,418.1114196777344
1083.15966796875,1.5108877050806768e-05,665.181884765625,417.9777526855469
1082.8243408203125,1.54617282532854e-05,664.9828491210938,417.8415222167969
1082.482177734375,1.5823561625438742e-05,664.7794189453125,417.70269775390625
1082.1339111328125,1.6182108083739877e-05,664.5726318359375,417.561279296875
1081.7791748046875,1.6538313502678648e-05,664.3619995117188,417.41717529296875
1081.41748046875,1.692829937383067e-05,664.1471557617188,417.2703552246094
1081.04833984375,1.7319032849627547e-05,663.9277954101562,417.1205749511719
1080.671875,1.7685824786894955e-05,663.7041015625,416.9678039550781
1080.2880859375,1.8086855561705306e-05,663.476318359375,416.8117370605469
1079.896240234375,1.8442973669152707e-05,663.2438354492188,416.6524658203125
1079.4964599609375,1.8777427612803876e-05,663.006591796875,416.4898986816406
1079.088623046875,1.9172999600414187e-05,662.7645874023438,416.32403564453125
1078.6727294921875,1.9584478650358506e-05,662.5178833007812,416.1548156738281
1078.247802734375,2.001722350541968e-05,662.265869140625,415.98199462890625
1077.81396484375,2.0472838514251634e-05,662.0084838867188,415.8055419921875
1077.3714599609375,2.0934154235874303e-05,661.7461547851562,415.6252746582031
1076.919189453125,2.1393359929788858e-05,661.4779663085938,415.441162109375
1076.455810546875,2.1876199753023684e-05,661.2025756835938,415.2532958984375
1075.983154296875,2.228161429229658e-05,660.92138671875,415.0617370605469
1075.500732421875,2.2741505745216273e-05,660.63427734375,414.86639404296875
