Average_MSE_Loss,Average_PDE_Loss,Average_BC_Loss,Average_Data_Loss
1096.537158203125,5.415483226300921e-06,673.2661499023437,423.2709899902344
1096.465673828125,5.412492619782938e-06,673.2251037597656,423.240576171875
1096.3937377929688,5.4101115711802095e-06,673.1838012695313,423.209912109375
1096.3211669921875,5.4055325769297726e-06,673.1421264648437,423.1790405273438
1096.2478149414062,5.4019149647643875e-06,673.0998596191406,423.14794006347654
1096.1733276367188,5.399082620272111e-06,673.0567749023437,423.1165496826172
1096.098046875,5.393465250946861e-06,673.0131958007812,423.08485412597656
1096.02216796875,5.383502729827683e-06,672.9693176269532,423.05286865234376
1095.94541015625,5.37169128875803e-06,672.9248474121093,423.0205871582031
1095.8679443359374,5.3616763267427816e-06,672.8799377441406,422.98802185058594
1095.78984375,5.346237286829591e-06,672.8346740722657,422.95518493652344
1095.7109130859376,5.332278036007665e-06,672.7889526367187,422.92197570800784
1095.6311401367188,5.321576132288897e-06,672.7427307128906,422.8883972167969
1095.5505493164062,5.312487868991411e-06,672.6960510253906,422.8544860839844
1095.4688720703125,5.303408714851798e-06,672.6486938476562,422.82018127441404
1095.3862060546876,5.2961971139353635e-06,672.6006591796875,422.78553771972656
1095.3027221679688,5.291501277326915e-06,672.5522094726563,422.7505340576172
1095.2184814453126,5.288646088530413e-06,672.5032958984375,422.715185546875
1095.133251953125,5.287261270581212e-06,672.4538452148438,422.67942504882814
1095.047021484375,5.290014531311726e-06,672.4037902832031,422.64324340820315
1094.959716796875,5.29832623215043e-06,672.3530883789062,422.60663146972655
1094.8712768554688,5.304039866160792e-06,672.3017028808594,422.56958923339846
1094.781787109375,5.314516632637379e-06,672.2496765136718,422.5321075439453
1094.6909545898438,5.324014731655779e-06,672.1968200683593,422.4941345214844
1094.5986694335938,5.330204482589806e-06,672.1430358886719,422.4556182861328
1094.5050170898437,5.335475726298e-06,672.0883972167969,422.4166320800781
1094.4099487304688,5.340841394030349e-06,672.0328491210937,422.37709045410156
1094.3134643554688,5.347335267913422e-06,671.9764892578125,422.3369903564453
1094.2158813476562,5.348331750099078e-06,671.9195068359375,422.29636535644534
1094.1170166015625,5.352032864180955e-06,671.86181640625,422.2552001953125
1094.016650390625,5.354151671355112e-06,671.8032348632812,422.2134307861328
1093.9146118164062,5.352781435163933e-06,671.7435607910156,422.1710540771484
1093.8114135742187,5.350359690226014e-06,671.6833129882813,422.1280822753906
1093.707080078125,5.345933674760772e-06,671.622509765625,422.0845703125
