,K,S,q,r,sigma,t,price
170,52.0,91.1,0.0,0.1441,0.26544998329566,0.75,0.007821218335288026
171,52.0,91.1,0.0,0.1441,0.26544998329566,1.0,0.02069544028804546
172,52.0,91.1,0.0,0.1441,0.3874180606791659,0.25,0.003738279436677863
173,52.0,91.1,0.0,0.1441,0.3874180606791659,0.5,0.06421312175615582
174,52.0,91.1,0.0,0.1441,0.3874180606791659,0.75,0.18702672838596615
175,52.0,91.1,0.0,0.1441,0.3874180606791659,1.0,0.33257434474632314
176,52.0,91.1,0.0,0.1441,0.7066863283197075,0.25,0.4436193378018983
177,52.0,91.1,0.0,0.1441,0.7066863283197075,0.5,1.5877068906210139
178,52.0,91.1,0.0,0.1441,0.7066863283197075,0.75,2.6941706335613835
179,52.0,91.1,0.0,0.1441,0.7066863283197075,1.0,3.643019623047256
180,52.0,91.1,0.0,0.1882,0.02776319114275506,0.25,0.0
181,52.0,91.1,0.0,0.1882,0.02776319114275506,0.5,1.1809196539010352e-245
182,52.0,91.1,0.0,0.1882,0.02776319114275506,0.75,6.595016533265647e-189
183,52.0,91.1,0.0,0.1882,0.02776319114275506,1.0,9.318645193814882e-162
184,52.0,91.1,0.0,0.1882,0.16424854217092363,0.25,4.885341629600781e-14
185,52.0,91.1,0.0,0.1882,0.16424854217092363,0.5,1.0974566826237013e-08
186,52.0,91.1,0.0,0.1882,0.16424854217092363,0.75,6.908590476943125e-07
187,52.0,91.1,0.0,0.1882,0.16424854217092363,1.0,5.309402567603362e-06
188,52.0,91.1,0.0,0.1882,0.26544998329566,0.25,4.1846261394078385e-06
189,52.0,91.1,0.0,0.1882,0.26544998329566,0.5,0.0007512546378628675
190,52.0,91.1,0.0,0.1882,0.26544998329566,0.75,0.004638593135725838
191,52.0,91.1,0.0,0.1882,0.26544998329566,1.0,0.01169227895601376
192,52.0,91.1,0.0,0.1882,0.3874180606791659,0.25,0.0030239818207424486
193,52.0,91.1,0.0,0.1882,0.3874180606791659,0.5,0.04999770952568149
