K,S,q,r,sigma,t,price,fdm-price
52.0,78.21598305379582,0.0,0.1441,0.02776319114275506,0.75,9.240562482522093e-104,-2.186716906725439e-07
52.0,78.21598305379582,0.0,0.1441,0.02776319114275506,1.0,1.8768349617981184e-89,-3.5753589307024465e-06
52.0,78.21598305379582,0.0,0.1441,0.16424854217092363,0.25,2.8248238922072257e-08,4.275772523139894e-07
52.0,78.21598305379582,0.0,0.1441,0.16424854217092363,0.5,2.7746793263896717e-05,4.1565991009645195e-05
52.0,78.21598305379582,0.0,0.1441,0.16424854217092363,0.75,0.0002970480917055979,0.00030033691911601144
52.0,78.21598305379582,0.0,0.1441,0.16424854217092363,1.0,0.0009726865428448268,0.0008835929537681106
52.0,78.21598305379582,0.0,0.1441,0.26544998329566,0.25,0.0008818299497520171,0.001208925537005707
52.0,78.21598305379582,0.0,0.1441,0.26544998329566,0.5,0.01919149927499188,0.019624781161393663
52.0,78.21598305379582,0.0,0.1441,0.26544998329566,0.75,0.059196957154835375,0.05846745794072269
52.0,78.21598305379582,0.0,0.1441,0.26544998329566,1.0,0.10669326017865013,0.10457061237385254
52.0,78.21598305379582,0.0,0.1441,0.3874180606791659,0.25,0.04511835264318674,0.04684163438291956
52.0,78.21598305379582,0.0,0.1441,0.3874180606791659,0.5,0.26850805522722293,0.2674240453088666
52.0,78.21598305379582,0.0,0.1441,0.3874180606791659,0.75,0.5378875124629319,0.5335188061295454
52.0,78.21598305379582,0.0,0.1441,0.3874180606791659,1.0,0.7859007429450487,0.7789623535105897
52.0,78.21598305379582,0.0,0.1441,0.7066863283197075,0.25,1.0909517438791847,1.0878657205860431
52.0,78.21598305379582,0.0,0.1441,0.7066863283197075,0.5,2.7031328444095504,2.692113800639025
52.0,78.21598305379582,0.0,0.1441,0.7066863283197075,0.75,3.9995511907970704,3.9831301438032276
52.0,78.21598305379582,0.0,0.1441,0.7066863283197075,1.0,5.020427693159866,4.999392904532575
52.0,78.21598305379582,0.0,0.1882,0.02776319114275506,0.25,8.43682687918016e-238,-6.112895625895899e-11
52.0,78.21598305379582,0.0,0.1882,0.02776319114275506,0.5,4.8380068299256005e-146,-8.675655529365011e-08
52.0,78.21598305379582,0.0,0.1882,0.02776319114275506,0.75,4.624379767370128e-117,-4.852627838633421e-06
52.0,78.21598305379582,0.0,0.1882,0.02776319114275506,1.0,8.426125771001113e-104,-6.921452121795248e-05
52.0,78.21598305379582,0.0,0.1882,0.16424854217092363,0.25,1.2875018365370595e-08,1.5267970380214962e-07
52.0,78.21598305379582,0.0,0.1882,0.16424854217092363,0.5,1.1362600718168679e-05,1.3907258804912772e-05
52.0,78.21598305379582,0.0,0.1882,0.16424854217092363,0.75,0.0001100125734158712,9.322630089757329e-05
52.0,78.21598305379582,0.0,0.1882,0.16424854217092363,1.0,0.000327217651007162,0.0002532286345245752
52.0,78.21598305379582,0.0,0.1882,0.26544998329566,0.25,0.0006354660223073854,0.000847847889763575
52.0,78.21598305379582,0.0,0.1882,0.26544998329566,0.5,0.013034270086932483,0.013075099480375588
52.0,78.21598305379582,0.0,0.1882,0.26544998329566,0.75,0.03811826431838761,0.037056344796231266
52.0,78.21598305379582,0.0,0.1882,0.26544998329566,1.0,0.0653738632789461,0.06318148239231693
52.0,78.21598305379582,0.0,0.1882,0.3874180606791659,0.25,0.03794014441823857,0.039176015270219584
52.0,78.21598305379582,0.0,0.1882,0.3874180606791659,0.5,0.21693542640161476,0.2152364466824911
52.0,78.21598305379582,0.0,0.1882,0.3874180606791659,0.75,0.4196426048533391,0.41489353850998034
52.0,78.21598305379582,0.0,0.1882,0.3874180606791659,1.0,0.5937783350994768,0.586835842435633
52.0,78.21598305379582,0.0,0.1882,0.7066863283197075,0.25,1.0158759628565222,1.012344587271076
52.0,78.21598305379582,0.0,0.1882,0.7066863283197075,0.5,2.4586209238544665,2.4472329011345493
52.0,78.21598305379582,0.0,0.1882,0.7066863283197075,0.75,3.564917287141656,3.548404196572953
52.0,78.21598305379582,0.0,0.1882,0.7066863283197075,1.0,4.392925893904134,4.372351257145464
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.25,1.2102580789401434e-194,4.7627336909422974e-26
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.5,2.595717655739007e-100,8.553144829341517e-23
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,0.75,9.113919956264023e-69,6.4924166456619785e-21
52.0,78.21598305379582,0.0,0.0118,0.02776319114275506,1.0,6.009818831508708e-53,1.3500243374758319e-19
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.25,2.6935304121980207e-07,5.8908097271222885e-06
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.5,0.00033134986474387263,0.0006641528554368853
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,0.75,0.004367636738286772,0.005639694322289947
52.0,78.21598305379582,0.0,0.0118,0.16424854217092363,1.0,0.01740194122419018,0.019593298913135077
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.25,0.0022709585424715447,0.0032844640192855054
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.5,0.05708405620203876,0.06053664706378166
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,0.75,0.19997961703090847,0.20339367408340164
52.0,78.21598305379582,0.0,0.0118,0.26544998329566,1.0,0.40510602996641304,0.407325050882209
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.25,0.07465155422337098,0.07848099884631059
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.5,0.4936512330990254,0.4959551225094167
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,0.75,1.0828188469007172,1.0819903923736813
52.0,78.21598305379582,0.0,0.0118,0.3874180606791659,1.0,1.717719277876288,1.714063366990498
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.25,1.345250494354941,1.3438433197600235
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.5,3.5628649681475455,3.553966412658851
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,0.75,5.580205088434129,5.566014915145422
52.0,78.21598305379582,0.0,0.0118,0.7066863283197075,1.0,7.376171490668022,7.356526567829867
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.25,5.0555532561784575e-205,-3.3902299497794083e-18
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.5,6.318506941793365e-111,-5.839393408265188e-15
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,0.75,1.2956387025666958e-79,-4.2269032431379035e-13
52.0,78.21598305379582,0.0,0.0559,0.02776319114275506,1.0,4.999687125304765e-64,-8.33401813258503e-12
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.25,1.2919960318071353e-07,2.6250397437061118e-06
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.5,0.00014980625656006635,0.0002838668289943668
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,0.75,0.0018707695161600288,0.0023077804151888444
52.0,78.21598305379582,0.0,0.0559,0.16424854217092363,1.0,0.0070872932064293135,0.0076748986431274275
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.25,0.001666990670220814,0.0023782915329671585
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.5,0.04015871407278167,0.042203762284665325
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,0.75,0.13555995307167698,0.13688628105306924
52.0,78.21598305379582,0.0,0.0559,0.26544998329566,1.0,0.2654968989718242,0.26529534804364663
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.25,0.06328746944138056,0.06629498334228137
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.5,0.40502488152584537,0.40590633269637494
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,0.75,0.863947293709443,0.8614594748617129
52.0,78.21598305379582,0.0,0.0559,0.3874180606791659,1.0,1.3364787200507815,1.331032344791107
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.25,1.2554091541306562,1.2533823263966912
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.5,3.2539912319537594,3.2441985683310626
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,0.75,5.00382326652814,4.9885107480958455
52.0,78.21598305379582,0.0,0.0559,0.7066863283197075,1.0,6.505246780425088,6.484583899929483
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.25,1.1253861788308875e-215,-1.9796688719623923e-14
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.5,4.377893201777998e-122,-3.233701590953547e-11
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,0.75,2.805518160761717e-91,-2.1904242260335846e-09
52.0,78.21598305379582,0.0,0.09999999999999999,0.02776319114275506,1.0,3.395292866935349e-76,-3.987639203407309e-08
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.25,6.092893313346715e-08,1.0987377228446092e-06
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.5,6.554441532625782e-05,0.00011309312634147039
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,0.75,0.0007637545407078017,0.000871340588109938
52.0,78.21598305379582,0.0,0.09999999999999999,0.16424854217092363,1.0,0.0027106369579813034,0.0027419741773500174
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.25,0.0012161724308565598,0.0017046811075450978
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.5,0.027924965001855373,0.028997281710133122
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,0.75,0.09035146407314198,0.09036085451606175
52.0,78.21598305379582,0.0,0.09999999999999999,0.26544998329566,1.0,0.1702044989178381,0.16865638374712508
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.25,0.05350869555860979,0.05581842249291583
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.5,0.3306239931017068,0.33038814648652
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,0.75,0.6842480681226716,0.6806072158541465
52.0,78.21598305379582,0.0,0.09999999999999999,0.3874180606791659,1.0,1.0298904631161145,1.0234028799205546
