4200/30000 PDE Loss: 0.05859, BC Loss: 0.03214,                   mse loss: 0.090727, combined loss: -0.00101
4250/30000 PDE Loss: 0.06431, BC Loss: 0.03941,                   mse loss: 0.103721, combined loss: 0.00128
4300/30000 PDE Loss: 0.06444, BC Loss: 0.02642,                   mse loss: 0.090860, combined loss: 0.00532
4350/30000 PDE Loss: 0.11024, BC Loss: 0.04342,                   mse loss: 0.153658, combined loss: 0.00193
4400/30000 PDE Loss: 0.18211, BC Loss: 0.07709,                   mse loss: 0.259207, combined loss: 0.00145
4450/30000 PDE Loss: 0.23653, BC Loss: 2.07793,                   mse loss: 2.314458, combined loss: 1.15836
4500/30000 PDE Loss: 0.61913, BC Loss: 0.19019,                   mse loss: 0.809321, combined loss: 2.23463
4550/30000 PDE Loss: 0.24056, BC Loss: 0.31231,                   mse loss: 0.552872, combined loss: 2.53843
4600/30000 PDE Loss: 0.21946, BC Loss: 0.34883,                   mse loss: 0.568286, combined loss: -0.00439
4650/30000 PDE Loss: 0.24548, BC Loss: 0.18624,                   mse loss: 0.431711, combined loss: 3.11124
4700/30000 PDE Loss: 0.12409, BC Loss: 0.52107,                   mse loss: 0.645165, combined loss: 0.67054
4750/30000 PDE Loss: 0.10899, BC Loss: 0.54974,                   mse loss: 0.658730, combined loss: -1.00572
4800/30000 PDE Loss: 0.09836, BC Loss: 0.62726,                   mse loss: 0.725614, combined loss: -0.36440
4850/30000 PDE Loss: 0.09212, BC Loss: 0.63721,                   mse loss: 0.729330, combined loss: 0.19107
4900/30000 PDE Loss: 0.13545, BC Loss: 0.30446,                   mse loss: 0.439914, combined loss: 1.08070
4950/30000 PDE Loss: 0.13402, BC Loss: 0.25837,                   mse loss: 0.392388, combined loss: 0.13231
5000/30000 PDE Loss: 0.30960, BC Loss: 0.14153,                   mse loss: 0.451127, combined loss: -0.04343
5050/30000 PDE Loss: 0.31584, BC Loss: 0.13633,                   mse loss: 0.452169, combined loss: -0.13037
5100/30000 PDE Loss: 0.29795, BC Loss: 0.14746,                   mse loss: 0.445419, combined loss: -0.00541
5150/30000 PDE Loss: 0.26611, BC Loss: 0.13660,                   mse loss: 0.402708, combined loss: 0.05554
5200/30000 PDE Loss: 34.24818, BC Loss: 29.17974,                   mse loss: 63.427917, combined loss: 25.99414
5250/30000 PDE Loss: 7.98246, BC Loss: 10.87972,                   mse loss: 18.862185, combined loss: -21.52651
