5950/30000 PDE Loss: 54.54914, BC Loss: 21.11933,                   mse loss: 75.668465, combined loss: -3871918.50000
6000/30000 PDE Loss: 52.61003, BC Loss: 24.31430,                   mse loss: 76.924339, combined loss: -1567180.00000
6050/30000 PDE Loss: 46.44376, BC Loss: 22.51314,                   mse loss: 68.956902, combined loss: -11996008.00000
6100/30000 PDE Loss: 31.48912, BC Loss: 14.38357,                   mse loss: 45.872692, combined loss: 8750150.00000
6150/30000 PDE Loss: 59.00297, BC Loss: 55.62326,                   mse loss: 114.626228, combined loss: 45443552.00000
6200/30000 PDE Loss: 36.65533, BC Loss: 82.62067,                   mse loss: 119.276001, combined loss: 21258788.00000
6250/30000 PDE Loss: 25.76836, BC Loss: 61.90205,                   mse loss: 87.670410, combined loss: 21229988.00000
6300/30000 PDE Loss: 43.03972, BC Loss: 88.91810,                   mse loss: 131.957825, combined loss: 19988422.00000
6350/30000 PDE Loss: 84.13985, BC Loss: 137.97806,                   mse loss: 222.117920, combined loss: 2464796.00000
6400/30000 PDE Loss: 44.98702, BC Loss: 58.27655,                   mse loss: 103.263565, combined loss: 21735938.00000
6450/30000 PDE Loss: 15.86014, BC Loss: 54.25478,                   mse loss: 70.114922, combined loss: 18925320.00000
6500/30000 PDE Loss: 40.32042, BC Loss: 48.27301,                   mse loss: 88.593430, combined loss: 35727432.00000
6550/30000 PDE Loss: 81.57304, BC Loss: 147.95988,                   mse loss: 229.532928, combined loss: 95900824.00000
6600/30000 PDE Loss: 26.07459, BC Loss: 55.28349,                   mse loss: 81.358078, combined loss: 84234984.00000
6650/30000 PDE Loss: 21.30032, BC Loss: 51.79858,                   mse loss: 73.098900, combined loss: 77599504.00000
6700/30000 PDE Loss: 54.83380, BC Loss: 24.99927,                   mse loss: 79.833061, combined loss: 51058736.00000
6750/30000 PDE Loss: 15.15891, BC Loss: 57.55576,                   mse loss: 72.714668, combined loss: 126085808.00000
6800/30000 PDE Loss: 16.10760, BC Loss: 79.17022,                   mse loss: 95.277824, combined loss: 119594816.00000
6850/30000 PDE Loss: 59.48277, BC Loss: 353.18008,                   mse loss: 412.662842, combined loss: 135184096.00000
6900/30000 PDE Loss: 33.37909, BC Loss: 41.40797,                   mse loss: 74.787064, combined loss: 147871808.00000
6950/30000 PDE Loss: 323.23056, BC Loss: 1500.06775,                   mse loss: 1823.298340, combined loss: 392053120.00000
7000/30000 PDE Loss: 86.89642, BC Loss: 162.26018,                   mse loss: 249.156586, combined loss: 51793184.00000
7050/30000 PDE Loss: 94.99522, BC Loss: 115.86570,                   mse loss: 210.860916, combined loss: -25766120.00000
7100/30000 PDE Loss: 89.76347, BC Loss: 100.88986,                   mse loss: 190.653320, combined loss: 12260000.00000
7150/30000 PDE Loss: 69.24335, BC Loss: 72.58720,                   mse loss: 141.830566, combined loss: 4668429.00000
7200/30000 PDE Loss: 53.93456, BC Loss: 54.45284,                   mse loss: 108.387405, combined loss: 29938476.00000
7250/30000 PDE Loss: 29.08990, BC Loss: 27.37014,                   mse loss: 56.460045, combined loss: 51681756.00000
7300/30000 PDE Loss: 13.72431, BC Loss: 33.91252,                   mse loss: 47.636833, combined loss: 82145448.00000
7350/30000 PDE Loss: 11.07646, BC Loss: 11.76036,                   mse loss: 22.836811, combined loss: 27396328.00000
7400/30000 PDE Loss: 25.93631, BC Loss: 33.16514,                   mse loss: 59.101456, combined loss: -88003632.00000
7450/30000 PDE Loss: 36.81783, BC Loss: 56.62413,                   mse loss: 93.441956, combined loss: -8001775.00000
7500/30000 PDE Loss: 28.76358, BC Loss: 11.12339,                   mse loss: 39.886978, combined loss: 19718050.00000
7550/30000 PDE Loss: 27.46135, BC Loss: 15.07034,                   mse loss: 42.531689, combined loss: -2635347.25000
7600/30000 PDE Loss: 25.82023, BC Loss: 5.81581,                   mse loss: 31.636047, combined loss: 6190699.00000
7650/30000 PDE Loss: 18.90743, BC Loss: 1.04706,                   mse loss: 19.954489, combined loss: 7371380.00000
7700/30000 PDE Loss: 21.88147, BC Loss: 3.48976,                   mse loss: 25.371229, combined loss: 13688540.00000
7750/30000 PDE Loss: 26.36046, BC Loss: 4.26688,                   mse loss: 30.627337, combined loss: 3564075.50000
7800/30000 PDE Loss: 36.94342, BC Loss: 8.78514,                   mse loss: 45.728558, combined loss: 17909016.00000
7850/30000 PDE Loss: 16.22457, BC Loss: 1.23247,                   mse loss: 17.457037, combined loss: 25842484.00000
7900/30000 PDE Loss: 10.08721, BC Loss: 0.81434,                   mse loss: 10.901555, combined loss: 22880142.00000
7950/30000 PDE Loss: 4.64288, BC Loss: 0.47259,                   mse loss: 5.115464, combined loss: 26830530.00000
8000/30000 PDE Loss: 0.07167, BC Loss: 0.09643,                   mse loss: 0.168100, combined loss: 23843468.00000
8050/30000 PDE Loss: 18.18771, BC Loss: 3.00630,                   mse loss: 21.194008, combined loss: 25592834.00000
8100/30000 PDE Loss: 7.70886, BC Loss: 4.80446,                   mse loss: 12.513320, combined loss: 28139310.00000
8150/30000 PDE Loss: 4.11211, BC Loss: 0.36253,                   mse loss: 4.474645, combined loss: 35124296.00000
8200/30000 PDE Loss: 7.23014, BC Loss: 1.55199,                   mse loss: 8.782125, combined loss: 41230448.00000
8250/30000 PDE Loss: 26.74257, BC Loss: 13.76343,                   mse loss: 40.505997, combined loss: 31440390.00000
