5800/30000 PDE Loss: 0.00413, BC Loss: 0.00265,                   mse loss: 0.006788, combined loss: 0.00263
5850/30000 PDE Loss: 0.00376, BC Loss: 0.00960,                   mse loss: 0.013361, combined loss: 0.00347
5900/30000 PDE Loss: 0.00439, BC Loss: 0.01665,                   mse loss: 0.021047, combined loss: 0.00337
5950/30000 PDE Loss: 0.00541, BC Loss: 0.05408,                   mse loss: 0.059489, combined loss: 0.00270
6000/30000 PDE Loss: 0.00285, BC Loss: 0.00738,                   mse loss: 0.010229, combined loss: 0.00275
6050/30000 PDE Loss: 0.00285, BC Loss: 0.00279,                   mse loss: 0.005640, combined loss: 0.00241
6100/30000 PDE Loss: 0.00328, BC Loss: 0.00325,                   mse loss: 0.006524, combined loss: 0.00222
6150/30000 PDE Loss: 0.00371, BC Loss: 0.00193,                   mse loss: 0.005644, combined loss: 0.00235
6200/30000 PDE Loss: 0.00297, BC Loss: 0.01716,                   mse loss: 0.020130, combined loss: 0.00241
6250/30000 PDE Loss: 0.00333, BC Loss: 0.00183,                   mse loss: 0.005159, combined loss: 0.00410
6300/30000 PDE Loss: 0.00357, BC Loss: 0.00239,                   mse loss: 0.005960, combined loss: 0.00599
6350/30000 PDE Loss: 0.00279, BC Loss: 0.00196,                   mse loss: 0.004745, combined loss: 0.00652
6400/30000 PDE Loss: 0.00382, BC Loss: 0.00323,                   mse loss: 0.007050, combined loss: 0.00607
6450/30000 PDE Loss: 0.00289, BC Loss: 0.00301,                   mse loss: 0.005903, combined loss: 0.00709
6500/30000 PDE Loss: 0.00231, BC Loss: 0.00213,                   mse loss: 0.004431, combined loss: 0.00802
6550/30000 PDE Loss: 0.00213, BC Loss: 0.00190,                   mse loss: 0.004030, combined loss: 0.00841
6600/30000 PDE Loss: 0.00568, BC Loss: 0.01199,                   mse loss: 0.017661, combined loss: 0.00795
6650/30000 PDE Loss: 0.00224, BC Loss: 0.00199,                   mse loss: 0.004233, combined loss: 0.00556
6700/30000 PDE Loss: 0.00261, BC Loss: 0.00161,                   mse loss: 0.004225, combined loss: 0.00790
6750/30000 PDE Loss: 0.00225, BC Loss: 0.00125,                   mse loss: 0.003500, combined loss: 0.00669
6800/30000 PDE Loss: 0.00229, BC Loss: 0.00209,                   mse loss: 0.004378, combined loss: 0.00726
6850/30000 PDE Loss: 0.00211, BC Loss: 0.00129,                   mse loss: 0.003406, combined loss: 0.00769
6900/30000 PDE Loss: 0.00247, BC Loss: 0.00159,                   mse loss: 0.004069, combined loss: 0.00800
6950/30000 PDE Loss: 0.00236, BC Loss: 0.00151,                   mse loss: 0.003869, combined loss: 0.00822
7000/30000 PDE Loss: 0.00241, BC Loss: 0.00161,                   mse loss: 0.004015, combined loss: 0.00871
7050/30000 PDE Loss: 0.00260, BC Loss: 0.00181,                   mse loss: 0.004410, combined loss: 0.00915
7100/30000 PDE Loss: 0.00283, BC Loss: 0.00184,                   mse loss: 0.004674, combined loss: 0.00972
7150/30000 PDE Loss: 0.00332, BC Loss: 0.00207,                   mse loss: 0.005396, combined loss: 0.01046
7200/30000 PDE Loss: 0.00379, BC Loss: 0.00206,                   mse loss: 0.005855, combined loss: 0.01131
7250/30000 PDE Loss: 0.00418, BC Loss: 0.00204,                   mse loss: 0.006218, combined loss: 0.01231
7300/30000 PDE Loss: 0.00463, BC Loss: 0.00200,                   mse loss: 0.006629, combined loss: 0.01367
7350/30000 PDE Loss: 0.00521, BC Loss: 0.00202,                   mse loss: 0.007235, combined loss: 0.01545
7400/30000 PDE Loss: 0.00689, BC Loss: 0.00238,                   mse loss: 0.009277, combined loss: 0.01658
7450/30000 PDE Loss: 0.00586, BC Loss: 0.00209,                   mse loss: 0.007955, combined loss: 0.01647
7500/30000 PDE Loss: 0.00586, BC Loss: 0.00212,                   mse loss: 0.007983, combined loss: 0.01783
7550/30000 PDE Loss: 0.00602, BC Loss: 0.00202,                   mse loss: 0.008039, combined loss: 0.01948
7600/30000 PDE Loss: 0.00601, BC Loss: 0.00202,                   mse loss: 0.008028, combined loss: 0.02134
7650/30000 PDE Loss: 0.00631, BC Loss: 0.00205,                   mse loss: 0.008361, combined loss: 0.02420
7700/30000 PDE Loss: 0.00631, BC Loss: 0.00205,                   mse loss: 0.008355, combined loss: 0.02726
7750/30000 PDE Loss: 0.00696, BC Loss: 0.00212,                   mse loss: 0.009083, combined loss: 0.03127
7800/30000 PDE Loss: 0.00633, BC Loss: 0.00190,                   mse loss: 0.008227, combined loss: 0.02608
7850/30000 PDE Loss: 0.00470, BC Loss: 0.00127,                   mse loss: 0.005966, combined loss: 0.02516
7900/30000 PDE Loss: 0.00352, BC Loss: 0.00104,                   mse loss: 0.004555, combined loss: 0.02496
7950/30000 PDE Loss: 0.00309, BC Loss: 0.00092,                   mse loss: 0.004010, combined loss: 0.02549
8000/30000 PDE Loss: 0.00284, BC Loss: 0.00082,                   mse loss: 0.003653, combined loss: 0.02594
8050/30000 PDE Loss: 0.00264, BC Loss: 0.00077,                   mse loss: 0.003411, combined loss: 0.02651
8100/30000 PDE Loss: 0.00248, BC Loss: 0.00076,                   mse loss: 0.003244, combined loss: 0.02749
8150/30000 PDE Loss: 0.00240, BC Loss: 0.00061,                   mse loss: 0.003014, combined loss: 0.02867
8200/30000 PDE Loss: 0.00242, BC Loss: 0.00061,                   mse loss: 0.003024, combined loss: 0.02991
8250/30000 PDE Loss: 0.00264, BC Loss: 0.00066,                   mse loss: 0.003298, combined loss: 0.03204
8300/30000 PDE Loss: 0.00263, BC Loss: 0.00085,                   mse loss: 0.003474, combined loss: 0.03303
8350/30000 PDE Loss: 0.00269, BC Loss: 0.00093,                   mse loss: 0.003625, combined loss: 0.03403
8400/30000 PDE Loss: 0.00487, BC Loss: 0.00343,                   mse loss: 0.008298, combined loss: 0.03860
8450/30000 PDE Loss: 0.00294, BC Loss: 0.00068,                   mse loss: 0.003617, combined loss: 0.03718
8500/30000 PDE Loss: 0.00303, BC Loss: 0.00141,                   mse loss: 0.004443, combined loss: 0.03860
8550/30000 PDE Loss: 0.00300, BC Loss: 0.00105,                   mse loss: 0.004047, combined loss: 0.04025
8600/30000 PDE Loss: 0.00312, BC Loss: 0.00104,                   mse loss: 0.004158, combined loss: 0.04232
