5050/30000 PDE Loss: 34.64983, BC Loss: 20.74781,                   mse loss: 55.397648, combined loss: 0.00429
5100/30000 PDE Loss: 14.36282, BC Loss: 6.99720,                   mse loss: 21.360020, combined loss: 0.00355
5150/30000 PDE Loss: 9.71816, BC Loss: 5.68973,                   mse loss: 15.407885, combined loss: 0.00395
5200/30000 PDE Loss: 12.25176, BC Loss: 6.78787,                   mse loss: 19.039631, combined loss: 0.00023
5250/30000 PDE Loss: 11.20634, BC Loss: 5.64512,                   mse loss: 16.851463, combined loss: -0.00011
5300/30000 PDE Loss: 14.59304, BC Loss: 8.25798,                   mse loss: 22.851025, combined loss: -0.00081
5350/30000 PDE Loss: 20.40130, BC Loss: 11.37254,                   mse loss: 31.773838, combined loss: -0.00128
5400/30000 PDE Loss: 18.05533, BC Loss: 11.30484,                   mse loss: 29.360174, combined loss: -0.00129
5450/30000 PDE Loss: 31.44597, BC Loss: 20.64090,                   mse loss: 52.086872, combined loss: -0.00153
5500/30000 PDE Loss: 41.81876, BC Loss: 30.16043,                   mse loss: 71.979187, combined loss: -0.00212
5550/30000 PDE Loss: 61.52792, BC Loss: 37.08432,                   mse loss: 98.612244, combined loss: -0.00065
5600/30000 PDE Loss: 79.73633, BC Loss: 39.46618,                   mse loss: 119.202499, combined loss: -0.00413
5650/30000 PDE Loss: 86.36596, BC Loss: 31.03300,                   mse loss: 117.398964, combined loss: 0.01420
5700/30000 PDE Loss: 194.22171, BC Loss: 66.38305,                   mse loss: 260.604767, combined loss: 0.00095
5750/30000 PDE Loss: 111.67467, BC Loss: 30.42729,                   mse loss: 142.101959, combined loss: -0.00074
5800/30000 PDE Loss: 86.60078, BC Loss: 27.63057,                   mse loss: 114.231354, combined loss: 0.00240
5850/30000 PDE Loss: 107.02554, BC Loss: 50.70422,                   mse loss: 157.729752, combined loss: -0.00208
5900/30000 PDE Loss: 92.12696, BC Loss: 33.05338,                   mse loss: 125.180344, combined loss: -0.00108
5950/30000 PDE Loss: 79.11614, BC Loss: 55.72539,                   mse loss: 134.841537, combined loss: -0.00459
6000/30000 PDE Loss: 91.17886, BC Loss: 44.55944,                   mse loss: 135.738297, combined loss: -0.00003
6050/30000 PDE Loss: 52.52797, BC Loss: 27.78658,                   mse loss: 80.314545, combined loss: 0.00240
6100/30000 PDE Loss: 105.61358, BC Loss: 58.62432,                   mse loss: 164.237900, combined loss: 0.00566
6150/30000 PDE Loss: 117.65894, BC Loss: 55.43716,                   mse loss: 173.096100, combined loss: 0.00589
6200/30000 PDE Loss: 70.51126, BC Loss: 59.67465,                   mse loss: 130.185913, combined loss: -0.00133
6250/30000 PDE Loss: 70.34489, BC Loss: 22.21735,                   mse loss: 92.562241, combined loss: 0.00021
6300/30000 PDE Loss: 51.36167, BC Loss: 19.71519,                   mse loss: 71.076859, combined loss: 0.00345
6350/30000 PDE Loss: 122.00880, BC Loss: 83.33618,                   mse loss: 205.344971, combined loss: 0.00178
6400/30000 PDE Loss: 69.09292, BC Loss: 49.83918,                   mse loss: 118.932098, combined loss: 0.00080
6450/30000 PDE Loss: 74.47484, BC Loss: 56.05658,                   mse loss: 130.531418, combined loss: -0.00021
6500/30000 PDE Loss: 63.50234, BC Loss: 34.81838,                   mse loss: 98.320717, combined loss: 0.00027
6550/30000 PDE Loss: 70.83263, BC Loss: 61.83704,                   mse loss: 132.669678, combined loss: 0.00685
6600/30000 PDE Loss: 63.57896, BC Loss: 28.28778,                   mse loss: 91.866730, combined loss: -0.00033
6650/30000 PDE Loss: 61.84790, BC Loss: 33.98241,                   mse loss: 95.830307, combined loss: -0.00204
6700/30000 PDE Loss: 64.41455, BC Loss: 42.34464,                   mse loss: 106.759193, combined loss: -0.00088
6750/30000 PDE Loss: 69.55505, BC Loss: 57.38627,                   mse loss: 126.941315, combined loss: -0.00327
6800/30000 PDE Loss: 71.53519, BC Loss: 52.51299,                   mse loss: 124.048172, combined loss: -0.00245
6850/30000 PDE Loss: 24.15268, BC Loss: 13.22967,                   mse loss: 37.382347, combined loss: 0.00863
6900/30000 PDE Loss: 15.46848, BC Loss: 12.25113,                   mse loss: 27.719616, combined loss: -0.00359
6950/30000 PDE Loss: 49.51966, BC Loss: 33.31660,                   mse loss: 82.836258, combined loss: -0.00633
7000/30000 PDE Loss: 41.15585, BC Loss: 29.76754,                   mse loss: 70.923393, combined loss: -0.00304
7050/30000 PDE Loss: 10.67374, BC Loss: 13.60910,                   mse loss: 24.282837, combined loss: -0.00042
7100/30000 PDE Loss: 8.60611, BC Loss: 9.80649,                   mse loss: 18.412600, combined loss: 0.00129
7150/30000 PDE Loss: 8.78291, BC Loss: 9.56032,                   mse loss: 18.343231, combined loss: 0.00351

Max number of iterations: 1000
7200/30000 PDE Loss: 6.59161, BC Loss: 8.88296,                   mse loss: 15.474566, combined loss: -0.00053
7250/30000 PDE Loss: 6.34902, BC Loss: 9.53449,                   mse loss: 15.883505, combined loss: 0.00018
7300/30000 PDE Loss: 7.93259, BC Loss: 8.17597,                   mse loss: 16.108559, combined loss: -0.00010
7350/30000 PDE Loss: 4.65297, BC Loss: 11.61841,                   mse loss: 16.271379, combined loss: -0.00024
7400/30000 PDE Loss: 4.18398, BC Loss: 8.34776,                   mse loss: 12.531739, combined loss: -0.00032
7450/30000 PDE Loss: 6.25628, BC Loss: 6.48755,                   mse loss: 12.743833, combined loss: 0.00040
7500/30000 PDE Loss: 28.08268, BC Loss: 16.22758,                   mse loss: 44.310268, combined loss: -0.00269
7550/30000 PDE Loss: 3.45177, BC Loss: 3.36505,                   mse loss: 6.816820, combined loss: -0.00052
7600/30000 PDE Loss: 2.01373, BC Loss: 1.53823,                   mse loss: 3.551956, combined loss: 0.00017
7650/30000 PDE Loss: 3.29076, BC Loss: 2.39685,                   mse loss: 5.687618, combined loss: -0.00027
7700/30000 PDE Loss: 4.58809, BC Loss: 1.63355,                   mse loss: 6.221646, combined loss: 0.00012
7750/30000 PDE Loss: 8.41789, BC Loss: 3.85348,                   mse loss: 12.271370, combined loss: -0.00050
7800/30000 PDE Loss: 8.94412, BC Loss: 3.95399,                   mse loss: 12.898109, combined loss: -0.00120
7850/30000 PDE Loss: 26.46402, BC Loss: 24.96407,                   mse loss: 51.428085, combined loss: -0.00366
7900/30000 PDE Loss: 36.14277, BC Loss: 28.73598,                   mse loss: 64.878738, combined loss: -0.00245
7950/30000 PDE Loss: 23.58653, BC Loss: 11.53966,                   mse loss: 35.126190, combined loss: -0.00069
8000/30000 PDE Loss: 14.04631, BC Loss: 3.95181,                   mse loss: 17.998117, combined loss: -0.00078
8050/30000 PDE Loss: 20.51256, BC Loss: 15.01704,                   mse loss: 35.529602, combined loss: -0.00103
8100/30000 PDE Loss: 56.36533, BC Loss: 38.08918,                   mse loss: 94.454514, combined loss: -0.00054
8150/30000 PDE Loss: 80.86086, BC Loss: 75.10892,                   mse loss: 155.969788, combined loss: -0.00169
8200/30000 PDE Loss: 154.99437, BC Loss: 129.50427,                   mse loss: 284.498657, combined loss: -0.00685
8250/30000 PDE Loss: 251.66939, BC Loss: 204.67323,                   mse loss: 456.342621, combined loss: -0.00216
8300/30000 PDE Loss: 330.25931, BC Loss: 250.10760,                   mse loss: 580.366943, combined loss: -0.00177
8350/30000 PDE Loss: 384.32959, BC Loss: 287.88535,                   mse loss: 672.214966, combined loss: -0.01101
8400/30000 PDE Loss: 351.66806, BC Loss: 289.51553,                   mse loss: 641.183594, combined loss: -0.00390
8450/30000 PDE Loss: 448.36526, BC Loss: 288.09665,                   mse loss: 736.461914, combined loss: 0.00662
8500/30000 PDE Loss: 297.92725, BC Loss: 108.07619,                   mse loss: 406.003418, combined loss: 0.00478
8550/30000 PDE Loss: 410.38687, BC Loss: 188.34557,                   mse loss: 598.732422, combined loss: -0.00565
8600/30000 PDE Loss: 181.76851, BC Loss: 164.94943,                   mse loss: 346.717957, combined loss: -0.00040
8650/30000 PDE Loss: 278.41580, BC Loss: 199.07953,                   mse loss: 477.495331, combined loss: -0.00260
8700/30000 PDE Loss: 235.27962, BC Loss: 188.63260,                   mse loss: 423.912231, combined loss: -0.00245
8750/30000 PDE Loss: 230.97101, BC Loss: 177.31174,                   mse loss: 408.282745, combined loss: -0.00112
8800/30000 PDE Loss: 258.31702, BC Loss: 175.00996,                   mse loss: 433.326965, combined loss: -0.00186
8850/30000 PDE Loss: 250.79346, BC Loss: 147.86095,                   mse loss: 398.654419, combined loss: -0.00246
8900/30000 PDE Loss: 177.86615, BC Loss: 69.00528,                   mse loss: 246.871429, combined loss: 0.00359
8950/30000 PDE Loss: 177.40419, BC Loss: 67.20842,                   mse loss: 244.612610, combined loss: 0.00507
9000/30000 PDE Loss: 42.18417, BC Loss: 8.42537,                   mse loss: 50.609543, combined loss: 0.00006
9050/30000 PDE Loss: 61.46080, BC Loss: 11.05991,                   mse loss: 72.520706, combined loss: 0.00006
9100/30000 PDE Loss: 26.16370, BC Loss: 32.17615,                   mse loss: 58.339851, combined loss: -0.01113
9150/30000 PDE Loss: 53.27372, BC Loss: 34.68993,                   mse loss: 87.963654, combined loss: -0.00094
9200/30000 PDE Loss: 72.79704, BC Loss: 40.87745,                   mse loss: 113.674484, combined loss: -0.00052
9250/30000 PDE Loss: 63.25786, BC Loss: 53.85178,                   mse loss: 117.109634, combined loss: 0.00182
9300/30000 PDE Loss: 33.11136, BC Loss: 26.26467,                   mse loss: 59.376030, combined loss: 0.00047
9350/30000 PDE Loss: 56.40024, BC Loss: 44.09704,                   mse loss: 100.497284, combined loss: -0.00010
9400/30000 PDE Loss: 26.57405, BC Loss: 26.32107,                   mse loss: 52.895126, combined loss: 0.00027
9450/30000 PDE Loss: 48.73303, BC Loss: 34.23739,                   mse loss: 82.970428, combined loss: -0.00096
9500/30000 PDE Loss: 21.86926, BC Loss: 8.28934,                   mse loss: 30.158592, combined loss: -0.00002
9550/30000 PDE Loss: 11.87043, BC Loss: 4.06514,                   mse loss: 15.935566, combined loss: 0.00353
9600/30000 PDE Loss: 109.42554, BC Loss: 90.08960,                   mse loss: 199.515137, combined loss: -0.00684
