32500/60000 PDE Loss: 4.14323, BVP1 Loss: 1657.29395, BVP2 Loss: 2528.93726, IVP Loss: 968.76428,
33000/60000 PDE Loss: 4.17065, BVP1 Loss: 1668.25391, BVP2 Loss: 2513.72192, IVP Loss: 985.67401,
33500/60000 PDE Loss: 4.09310, BVP1 Loss: 1637.23767, BVP2 Loss: 2552.49951, IVP Loss: 998.38843,
34000/60000 PDE Loss: 4.14416, BVP1 Loss: 1657.65955, BVP2 Loss: 2527.48291, IVP Loss: 984.97382,
34500/60000 PDE Loss: 4.13241, BVP1 Loss: 1652.96765, BVP2 Loss: 2532.79590, IVP Loss: 976.85291,
35000/60000 PDE Loss: 4.11303, BVP1 Loss: 1645.20703, BVP2 Loss: 2542.76294, IVP Loss: 981.84082,
35500/60000 PDE Loss: 4.14966, BVP1 Loss: 1659.86328, BVP2 Loss: 2525.03271, IVP Loss: 992.04968,
36000/60000 PDE Loss: 4.14964, BVP1 Loss: 1659.85620, BVP2 Loss: 2524.41382, IVP Loss: 990.44678,
36500/60000 PDE Loss: 4.17040, BVP1 Loss: 1668.15710, BVP2 Loss: 2514.14331, IVP Loss: 986.81360,
37000/60000 PDE Loss: 4.10329, BVP1 Loss: 1641.31567, BVP2 Loss: 2548.05005, IVP Loss: 1001.48718,
37500/60000 PDE Loss: 4.12524, BVP1 Loss: 1650.09338, BVP2 Loss: 2536.54175, IVP Loss: 981.43219,
38000/60000 PDE Loss: 4.11296, BVP1 Loss: 1645.18384, BVP2 Loss: 2542.37671, IVP Loss: 980.18982,
38500/60000 PDE Loss: 4.13296, BVP1 Loss: 1653.18652, BVP2 Loss: 2533.45874, IVP Loss: 1011.77417,
39000/60000 PDE Loss: 4.14127, BVP1 Loss: 1656.51184, BVP2 Loss: 2528.38037, IVP Loss: 982.13501,
39500/60000 PDE Loss: 4.15674, BVP1 Loss: 1662.70227, BVP2 Loss: 2521.30908, IVP Loss: 991.32843,
40000/60000 PDE Loss: 4.15430, BVP1 Loss: 1661.71863, BVP2 Loss: 2522.18628, IVP Loss: 992.08032,
40500/60000 PDE Loss: 4.13782, BVP1 Loss: 1655.12866, BVP2 Loss: 2529.28711, IVP Loss: 984.26971,
41000/60000 PDE Loss: 4.16766, BVP1 Loss: 1667.06262, BVP2 Loss: 2515.94995, IVP Loss: 1005.33478,
41500/60000 PDE Loss: 4.13206, BVP1 Loss: 1652.82422, BVP2 Loss: 2533.40918, IVP Loss: 1001.36700,
42000/60000 PDE Loss: 4.12579, BVP1 Loss: 1650.31335, BVP2 Loss: 2535.24634, IVP Loss: 993.56097,
42500/60000 PDE Loss: 4.12559, BVP1 Loss: 1650.23364, BVP2 Loss: 2538.09351, IVP Loss: 968.49921,
43000/60000 PDE Loss: 4.13110, BVP1 Loss: 1652.43726, BVP2 Loss: 2533.61548, IVP Loss: 991.77899,
43500/60000 PDE Loss: 4.10626, BVP1 Loss: 1642.50012, BVP2 Loss: 2546.60034, IVP Loss: 979.00391,
44000/60000 PDE Loss: 4.14189, BVP1 Loss: 1656.75305, BVP2 Loss: 2528.49609, IVP Loss: 990.58551,
44500/60000 PDE Loss: 4.12177, BVP1 Loss: 1648.70679, BVP2 Loss: 2537.64233, IVP Loss: 997.73541,
45000/60000 PDE Loss: 4.14581, BVP1 Loss: 1658.32776, BVP2 Loss: 2525.89160, IVP Loss: 987.23132,
45500/60000 PDE Loss: 4.14144, BVP1 Loss: 1656.57825, BVP2 Loss: 2527.54370, IVP Loss: 1008.20319,
46000/60000 PDE Loss: 4.13633, BVP1 Loss: 1654.53137, BVP2 Loss: 2531.02173, IVP Loss: 975.94360,
46500/60000 PDE Loss: 4.14026, BVP1 Loss: 1656.10864, BVP2 Loss: 2528.68555, IVP Loss: 984.60260,
47000/60000 PDE Loss: 4.12620, BVP1 Loss: 1650.48120, BVP2 Loss: 2535.47534, IVP Loss: 989.88208,
47500/60000 PDE Loss: 4.12313, BVP1 Loss: 1649.25098, BVP2 Loss: 2538.32959, IVP Loss: 995.13892,
48000/60000 PDE Loss: 4.12864, BVP1 Loss: 1651.45325, BVP2 Loss: 2536.48877, IVP Loss: 984.40570,
48500/60000 PDE Loss: 4.11775, BVP1 Loss: 1647.10547, BVP2 Loss: 2539.82202, IVP Loss: 1003.93298,
49000/60000 PDE Loss: 4.12932, BVP1 Loss: 1651.72266, BVP2 Loss: 2533.91650, IVP Loss: 995.58099,
49500/60000 PDE Loss: 4.14538, BVP1 Loss: 1658.15234, BVP2 Loss: 2526.38403, IVP Loss: 977.57458,
50000/60000 PDE Loss: 4.11521, BVP1 Loss: 1646.08105, BVP2 Loss: 2542.03809, IVP Loss: 992.14148,
50500/60000 PDE Loss: 4.13225, BVP1 Loss: 1652.89453, BVP2 Loss: 2532.15430, IVP Loss: 995.98383,
51000/60000 PDE Loss: 4.13032, BVP1 Loss: 1652.12805, BVP2 Loss: 2534.38672, IVP Loss: 992.38751,
51500/60000 PDE Loss: 4.13971, BVP1 Loss: 1655.87891, BVP2 Loss: 2530.61230, IVP Loss: 992.31769,
52000/60000 PDE Loss: 4.13580, BVP1 Loss: 1654.32422, BVP2 Loss: 2531.15430, IVP Loss: 994.81763,
52500/60000 PDE Loss: 4.14239, BVP1 Loss: 1656.95325, BVP2 Loss: 2528.33105, IVP Loss: 984.64978,
53000/60000 PDE Loss: 4.12335, BVP1 Loss: 1649.34375, BVP2 Loss: 2537.41968, IVP Loss: 978.51678,
53500/60000 PDE Loss: 4.14976, BVP1 Loss: 1659.90540, BVP2 Loss: 2525.62769, IVP Loss: 981.81079,
54000/60000 PDE Loss: 4.13117, BVP1 Loss: 1652.46887, BVP2 Loss: 2531.85400, IVP Loss: 991.56982,
54500/60000 PDE Loss: 4.14942, BVP1 Loss: 1659.76855, BVP2 Loss: 2525.66162, IVP Loss: 994.71417,
55000/60000 PDE Loss: 4.11407, BVP1 Loss: 1645.62512, BVP2 Loss: 2542.00806, IVP Loss: 976.76459,
55500/60000 PDE Loss: 4.15722, BVP1 Loss: 1662.88965, BVP2 Loss: 2520.13599, IVP Loss: 988.95923,
56000/60000 PDE Loss: 4.16229, BVP1 Loss: 1664.91003, BVP2 Loss: 2518.63794, IVP Loss: 1003.78882,
56500/60000 PDE Loss: 4.13528, BVP1 Loss: 1654.11023, BVP2 Loss: 2531.84131, IVP Loss: 983.76050,
57000/60000 PDE Loss: 4.16537, BVP1 Loss: 1666.15234, BVP2 Loss: 2516.92651, IVP Loss: 986.50232,
57500/60000 PDE Loss: 4.12891, BVP1 Loss: 1651.56262, BVP2 Loss: 2534.61011, IVP Loss: 983.48639,
58000/60000 PDE Loss: 4.11895, BVP1 Loss: 1647.57800, BVP2 Loss: 2540.17163, IVP Loss: 980.49860,
58500/60000 PDE Loss: 4.13112, BVP1 Loss: 1652.45215, BVP2 Loss: 2533.48071, IVP Loss: 1002.59808,
59000/60000 PDE Loss: 4.13550, BVP1 Loss: 1654.20288, BVP2 Loss: 2530.40967, IVP Loss: 988.21338,
59500/60000 PDE Loss: 4.12438, BVP1 Loss: 1649.75012, BVP2 Loss: 2536.80200, IVP Loss: 987.62579,
