49000/60000 PDE Loss: 0.00275, BVP1 Loss: 0.00000, BVP2 Loss: 0.00031, IVP Loss: 0.00432,
49500/60000 PDE Loss: 0.00269, BVP1 Loss: 0.00000, BVP2 Loss: 0.00063, IVP Loss: 0.00518,
50000/60000 PDE Loss: 0.00258, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00360,
50500/60000 PDE Loss: 0.00350, BVP1 Loss: 0.00000, BVP2 Loss: 0.00049, IVP Loss: 0.00353,
51000/60000 PDE Loss: 0.00242, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00433,
51500/60000 PDE Loss: 0.00227, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00368,
52000/60000 PDE Loss: 0.00388, BVP1 Loss: 0.00001, BVP2 Loss: 0.00088, IVP Loss: 0.00578,
52500/60000 PDE Loss: 0.00216, BVP1 Loss: 0.00000, BVP2 Loss: 0.00014, IVP Loss: 0.00414,
53000/60000 PDE Loss: 0.00273, BVP1 Loss: 0.00000, BVP2 Loss: 0.00011, IVP Loss: 0.00312,
53500/60000 PDE Loss: 0.00218, BVP1 Loss: 0.00000, BVP2 Loss: 0.00004, IVP Loss: 0.00328,
54000/60000 PDE Loss: 0.00211, BVP1 Loss: 0.00001, BVP2 Loss: 0.00005, IVP Loss: 0.00343,
54500/60000 PDE Loss: 0.00264, BVP1 Loss: 0.00000, BVP2 Loss: 0.00002, IVP Loss: 0.00401,
55000/60000 PDE Loss: 0.00298, BVP1 Loss: 0.00000, BVP2 Loss: 0.00019, IVP Loss: 0.00286,
55500/60000 PDE Loss: 0.00242, BVP1 Loss: 0.00001, BVP2 Loss: 0.00008, IVP Loss: 0.00364,
56000/60000 PDE Loss: 0.00209, BVP1 Loss: 0.00000, BVP2 Loss: 0.00002, IVP Loss: 0.00319,
56500/60000 PDE Loss: 0.00169, BVP1 Loss: 0.00001, BVP2 Loss: 0.00025, IVP Loss: 0.00357,
57000/60000 PDE Loss: 0.00189, BVP1 Loss: 0.00000, BVP2 Loss: 0.00002, IVP Loss: 0.00265,
57500/60000 PDE Loss: 0.00275, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00300,
58000/60000 PDE Loss: 0.00240, BVP1 Loss: 0.00000, BVP2 Loss: 0.00001, IVP Loss: 0.00280,
58500/60000 PDE Loss: 0.00214, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00307,
59000/60000 PDE Loss: 0.00161, BVP1 Loss: 0.00000, BVP2 Loss: 0.00000, IVP Loss: 0.00329,
59500/60000 PDE Loss: 0.00201, BVP1 Loss: 0.00000, BVP2 Loss: 0.00006, IVP Loss: 0.00270,
