50000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837429, total loss: 0.000585
50500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837423, total loss: 0.000585
51000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837416, total loss: 0.000584
51500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837408, total loss: 0.000583
52000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837407, total loss: 0.000583
52500/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837405, total loss: 0.000583
53000/60000 PDE Loss: 0.00058, BC Loss: 0.00001, reg_loss:  0.837402, total loss: 0.000582
53500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837398, total loss: 0.000582
54000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837394, total loss: 0.000581
54500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837390, total loss: 0.000580
55000/60000 PDE Loss: 0.00058, BC Loss: 0.00038, reg_loss:  0.837382, total loss: 0.000956
55500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837388, total loss: 0.000579
56000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837387, total loss: 0.000579
56500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837386, total loss: 0.000579
57000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837385, total loss: 0.000578
57500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837383, total loss: 0.000578
58000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837381, total loss: 0.000577
58500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837379, total loss: 0.000577
59000/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837381, total loss: 0.000577
59500/60000 PDE Loss: 0.00057, BC Loss: 0.00001, reg_loss:  0.837381, total loss: 0.000576
run time: 368.03089022636414
