33000/60000 PDE Loss: 0.00178, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001801, minimum loss: 0.00146
33500/60000 PDE Loss: 0.00177, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001794, minimum loss: 0.00146
34000/60000 PDE Loss: 0.00175, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001779, minimum loss: 0.00146
34500/60000 PDE Loss: 0.00173, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001757, minimum loss: 0.00146
35000/60000 PDE Loss: 0.00172, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001748, minimum loss: 0.00146
35500/60000 PDE Loss: 0.00171, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001740, minimum loss: 0.00146
36000/60000 PDE Loss: 0.00170, BC Loss: 0.000011, fc loss:  0.000014, total loss: 0.001727, minimum loss: 0.00146
36500/60000 PDE Loss: 0.00168, BC Loss: 0.000011, fc loss:  0.000014, total loss: 0.001710, minimum loss: 0.00146
37000/60000 PDE Loss: 0.00166, BC Loss: 0.000011, fc loss:  0.000014, total loss: 0.001683, minimum loss: 0.00146
37500/60000 PDE Loss: 0.00164, BC Loss: 0.000011, fc loss:  0.000015, total loss: 0.001670, minimum loss: 0.00146
38000/60000 PDE Loss: 0.00164, BC Loss: 0.000011, fc loss:  0.000014, total loss: 0.001660, minimum loss: 0.00146
38500/60000 PDE Loss: 0.00518, BC Loss: 0.000008, fc loss:  0.000006, total loss: 0.005193, minimum loss: 0.00146
39000/60000 PDE Loss: 0.00256, BC Loss: 0.000009, fc loss:  0.000011, total loss: 0.002585, minimum loss: 0.00146
39500/60000 PDE Loss: 0.00211, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.002131, minimum loss: 0.00146
40000/60000 PDE Loss: 0.00204, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.002062, minimum loss: 0.00146
40500/60000 PDE Loss: 0.00154, BC Loss: 0.000011, fc loss:  0.000013, total loss: 0.001567, minimum loss: 0.00146
41000/60000 PDE Loss: 0.00153, BC Loss: 0.000011, fc loss:  0.000013, total loss: 0.001556, minimum loss: 0.00146
41500/60000 PDE Loss: 0.00152, BC Loss: 0.000011, fc loss:  0.000013, total loss: 0.001545, minimum loss: 0.00146
42000/60000 PDE Loss: 0.00151, BC Loss: 0.000011, fc loss:  0.000013, total loss: 0.001531, minimum loss: 0.00146
42500/60000 PDE Loss: 0.00149, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001510, minimum loss: 0.00146
43000/60000 PDE Loss: 0.00147, BC Loss: 0.000006, fc loss:  0.000028, total loss: 0.001501, minimum loss: 0.00146
43500/60000 PDE Loss: 0.00146, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001484, minimum loss: 0.00146
44000/60000 PDE Loss: 0.00145, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001471, minimum loss: 0.00146
44500/60000 PDE Loss: 0.00143, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001458, minimum loss: 0.00146
45000/60000 PDE Loss: 0.00142, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001442, minimum loss: 0.00144
45500/60000 PDE Loss: 0.00140, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001419, minimum loss: 0.00142
46000/60000 PDE Loss: 0.00139, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001411, minimum loss: 0.00141
46500/60000 PDE Loss: 0.00138, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001404, minimum loss: 0.00140
47000/60000 PDE Loss: 0.00137, BC Loss: 0.000010, fc loss:  0.000013, total loss: 0.001397, minimum loss: 0.00140
47500/60000 PDE Loss: 0.00136, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001387, minimum loss: 0.00139
48000/60000 PDE Loss: 0.00135, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001374, minimum loss: 0.00137
48500/60000 PDE Loss: 0.00134, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001360, minimum loss: 0.00136
49000/60000 PDE Loss: 0.00133, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001351, minimum loss: 0.00135
49500/60000 PDE Loss: 0.00132, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001344, minimum loss: 0.00134
50000/60000 PDE Loss: 0.00131, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001335, minimum loss: 0.00133
50500/60000 PDE Loss: 0.00130, BC Loss: 0.000010, fc loss:  0.000012, total loss: 0.001325, minimum loss: 0.00133
51000/60000 PDE Loss: 0.00129, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001310, minimum loss: 0.00131
51500/60000 PDE Loss: 0.00127, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001291, minimum loss: 0.00129
52000/60000 PDE Loss: 0.00126, BC Loss: 0.000009, fc loss:  0.000013, total loss: 0.001282, minimum loss: 0.00128
52500/60000 PDE Loss: 0.00126, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001279, minimum loss: 0.00128
53000/60000 PDE Loss: 0.00125, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001271, minimum loss: 0.00127
53500/60000 PDE Loss: 0.00124, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001264, minimum loss: 0.00126
54000/60000 PDE Loss: 0.00123, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001254, minimum loss: 0.00125
54500/60000 PDE Loss: 0.00122, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001241, minimum loss: 0.00124
55000/60000 PDE Loss: 0.00121, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001226, minimum loss: 0.00123
55500/60000 PDE Loss: 0.00120, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001221, minimum loss: 0.00122
56000/60000 PDE Loss: 0.00120, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001223, minimum loss: 0.00122
56500/60000 PDE Loss: 0.00121, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001228, minimum loss: 0.00122
57000/60000 PDE Loss: 0.00119, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001214, minimum loss: 0.00121
57500/60000 PDE Loss: 0.00118, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001199, minimum loss: 0.00120
58000/60000 PDE Loss: 0.00117, BC Loss: 0.000009, fc loss:  0.000012, total loss: 0.001186, minimum loss: 0.00119
58500/60000 PDE Loss: 0.00120, BC Loss: 0.000132, fc loss:  0.000073, total loss: 0.001410, minimum loss: 0.00117
59000/60000 PDE Loss: 0.00115, BC Loss: 0.000009, fc loss:  0.000011, total loss: 0.001167, minimum loss: 0.00117
59500/60000 PDE Loss: 0.00114, BC Loss: 0.000009, fc loss:  0.000011, total loss: 0.001161, minimum loss: 0.00116
run time: 348.88464856147766
