Option Price: 17.01496124267578
5.8385
0.7769
0.0124
23.8776
45.1372
52500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000842
53000/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000838
53500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000835
54000/60000 PDE Loss: 0.00082, BC Loss: 0.00001, total loss: 0.000831
54500/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000836
55000/60000 PDE Loss: 0.00083, BC Loss: 0.00001, total loss: 0.000834
55500/60000 PDE Loss: 0.00082, BC Loss: 0.00001, total loss: 0.000832
56000/60000 PDE Loss: 0.00082, BC Loss: 0.00001, total loss: 0.000829
56500/60000 PDE Loss: 0.00082, BC Loss: 0.00001, total loss: 0.000824
57000/60000 PDE Loss: 0.00081, BC Loss: 0.00001, total loss: 0.000820
57500/60000 PDE Loss: 0.00120, BC Loss: 0.00177, total loss: 0.002963
58000/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000810
58500/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000809
59000/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000808
59500/60000 PDE Loss: 0.00080, BC Loss: 0.00001, total loss: 0.000806
run time: 520.3314940929413
