
DGMCell(
  (sig_act): Tanh()
  (Sw): Linear(in_features=2, out_features=100, bias=True)
  (Uz): Linear(in_features=2, out_features=100, bias=True)
  (Wsz): Linear(in_features=100, out_features=100, bias=True)
  (Ug): Linear(in_features=2, out_features=100, bias=True)
  (Wsg): Linear(in_features=100, out_features=100, bias=True)
  (Ur): Linear(in_features=2, out_features=100, bias=True)
  (Wsr): Linear(in_features=100, out_features=100, bias=True)
  (Uh): Linear(in_features=2, out_features=100, bias=True)
  (Wsh): Linear(in_features=100, out_features=100, bias=True)
  (Wf): Linear(in_features=100, out_features=1, bias=True)
)
FeedforwardNeuralNetwork(
  (layers): ModuleList(
    (0): Linear(in_features=2, out_features=50, bias=True)
    (1-2): 2 x Linear(in_features=50, out_features=50, bias=True)
  )
  (output): Linear(in_features=50, out_features=1, bias=True)
  (relu): ReLU()
)
ImprovedFNN(
  (input): Linear(in_features=2, out_features=50, bias=True)
  (hidden): ModuleList(
    (0-1): 2 x AdaptiveRelu()
  )
  (output): Linear(in_features=50, out_features=1, bias=True)
30500/60000 PDE Loss: 0.14171, BC Loss: 0.20805, reg_loss:  0.179155 total loss: 0.349759
31000/60000 PDE Loss: 0.11468, BC Loss: 0.14618, reg_loss:  0.177889 total loss: 0.260861
31500/60000 PDE Loss: 0.09270, BC Loss: 0.10048, reg_loss:  0.176722 total loss: 0.193177
32000/60000 PDE Loss: 0.07598, BC Loss: 0.06521, reg_loss:  0.175654 total loss: 0.141191
32500/60000 PDE Loss: 0.06385, BC Loss: 0.04191, reg_loss:  0.174679 total loss: 0.105758
33000/60000 PDE Loss: 0.05327, BC Loss: 0.02610, reg_loss:  0.173777 total loss: 0.079373
33500/60000 PDE Loss: 0.04406, BC Loss: 0.01579, reg_loss:  0.172928 total loss: 0.059848
34000/60000 PDE Loss: 0.03636, BC Loss: 0.00951, reg_loss:  0.172123 total loss: 0.045870
34500/60000 PDE Loss: 0.03033, BC Loss: 0.00598, reg_loss:  0.171350 total loss: 0.036306
35000/60000 PDE Loss: 0.02565, BC Loss: 0.00419, reg_loss:  0.170599 total loss: 0.029837
35500/60000 PDE Loss: 0.02188, BC Loss: 0.00334, reg_loss:  0.169857 total loss: 0.025220
36000/60000 PDE Loss: 0.01871, BC Loss: 0.00295, reg_loss:  0.169109 total loss: 0.021659
36500/60000 PDE Loss: 0.01651, BC Loss: 0.00278, reg_loss:  0.168341 total loss: 0.019285
37000/60000 PDE Loss: 0.01594, BC Loss: 0.00291, reg_loss:  0.167549 total loss: 0.018844
37500/60000 PDE Loss: 0.01741, BC Loss: 0.00363, reg_loss:  0.166750 total loss: 0.021039
38000/60000 PDE Loss: 0.01886, BC Loss: 0.00349, reg_loss:  0.165962 total loss: 0.022357
38500/60000 PDE Loss: 0.01560, BC Loss: 0.00302, reg_loss:  0.165119 total loss: 0.018618
39000/60000 PDE Loss: 0.01399, BC Loss: 0.00277, reg_loss:  0.164207 total loss: 0.016758
39500/60000 PDE Loss: 0.01288, BC Loss: 0.00262, reg_loss:  0.163233 total loss: 0.015502
40000/60000 PDE Loss: 0.01155, BC Loss: 0.00234, reg_loss:  0.162201 total loss: 0.013884
40500/60000 PDE Loss: 0.01016, BC Loss: 0.00210, reg_loss:  0.161114 total loss: 0.012263
41000/60000 PDE Loss: 0.00899, BC Loss: 0.00190, reg_loss:  0.159985 total loss: 0.010888
41500/60000 PDE Loss: 0.00807, BC Loss: 0.00177, reg_loss:  0.158834 total loss: 0.009844
42000/60000 PDE Loss: 0.00741, BC Loss: 0.00159, reg_loss:  0.157676 total loss: 0.009003
42500/60000 PDE Loss: 0.00674, BC Loss: 0.00144, reg_loss:  0.156515 total loss: 0.008180
43000/60000 PDE Loss: 0.00625, BC Loss: 0.00132, reg_loss:  0.155350 total loss: 0.007569
43500/60000 PDE Loss: 0.00580, BC Loss: 0.00131, reg_loss:  0.154183 total loss: 0.007109
44000/60000 PDE Loss: 0.00546, BC Loss: 0.00121, reg_loss:  0.153019 total loss: 0.006670
44500/60000 PDE Loss: 0.00513, BC Loss: 0.00105, reg_loss:  0.151865 total loss: 0.006182
45000/60000 PDE Loss: 0.00473, BC Loss: 0.00098, reg_loss:  0.150722 total loss: 0.005709
45500/60000 PDE Loss: 0.00438, BC Loss: 0.00092, reg_loss:  0.149587 total loss: 0.005301
46000/60000 PDE Loss: 0.00404, BC Loss: 0.00086, reg_loss:  0.148461 total loss: 0.004900
46500/60000 PDE Loss: 0.00382, BC Loss: 0.00080, reg_loss:  0.147347 total loss: 0.004625
47000/60000 PDE Loss: 0.00375, BC Loss: 0.00081, reg_loss:  0.146244 total loss: 0.004560
47500/60000 PDE Loss: 0.00362, BC Loss: 0.00069, reg_loss:  0.145151 total loss: 0.004315
48000/60000 PDE Loss: 0.00347, BC Loss: 0.00063, reg_loss:  0.144068 total loss: 0.004107
48500/60000 PDE Loss: 0.00340, BC Loss: 0.00066, reg_loss:  0.142994 total loss: 0.004055
49000/60000 PDE Loss: 0.00327, BC Loss: 0.00053, reg_loss:  0.141928 total loss: 0.003802
49500/60000 PDE Loss: 0.00311, BC Loss: 0.00049, reg_loss:  0.140872 total loss: 0.003594
50000/60000 PDE Loss: 0.00291, BC Loss: 0.00045, reg_loss:  0.139829 total loss: 0.003353
50500/60000 PDE Loss: 0.00275, BC Loss: 0.00041, reg_loss:  0.138789 total loss: 0.003158
51000/60000 PDE Loss: 0.00257, BC Loss: 0.00038, reg_loss:  0.137760 total loss: 0.002945
51500/60000 PDE Loss: 0.00240, BC Loss: 0.00035, reg_loss:  0.136739 total loss: 0.002746
52000/60000 PDE Loss: 0.00225, BC Loss: 0.00032, reg_loss:  0.135725 total loss: 0.002574
52500/60000 PDE Loss: 0.00216, BC Loss: 0.00028, reg_loss:  0.134721 total loss: 0.002440
53000/60000 PDE Loss: 0.00206, BC Loss: 0.00026, reg_loss:  0.133724 total loss: 0.002315
53500/60000 PDE Loss: 0.00196, BC Loss: 0.00023, reg_loss:  0.132734 total loss: 0.002192
54000/60000 PDE Loss: 0.00189, BC Loss: 0.00021, reg_loss:  0.131753 total loss: 0.002104
54500/60000 PDE Loss: 0.00180, BC Loss: 0.00019, reg_loss:  0.130781 total loss: 0.001994
55000/60000 PDE Loss: 0.00172, BC Loss: 0.00024, reg_loss:  0.129814 total loss: 0.001955
55500/60000 PDE Loss: 0.00166, BC Loss: 0.00027, reg_loss:  0.128855 total loss: 0.001930
56000/60000 PDE Loss: 0.00159, BC Loss: 0.00014, reg_loss:  0.127905 total loss: 0.001732
56500/60000 PDE Loss: 0.00153, BC Loss: 0.00012, reg_loss:  0.126962 total loss: 0.001651
57000/60000 PDE Loss: 0.00146, BC Loss: 0.00013, reg_loss:  0.126025 total loss: 0.001586
57500/60000 PDE Loss: 0.00143, BC Loss: 0.00010, reg_loss:  0.125095 total loss: 0.001528
58000/60000 PDE Loss: 0.00138, BC Loss: 0.00009, reg_loss:  0.124173 total loss: 0.001473
58500/60000 PDE Loss: 0.00135, BC Loss: 0.00008, reg_loss:  0.123257 total loss: 0.001432
59000/60000 PDE Loss: 0.00131, BC Loss: 0.00008, reg_loss:  0.122350 total loss: 0.001383
59500/60000 PDE Loss: 0.00128, BC Loss: 0.00007, reg_loss:  0.121449 total loss: 0.001352
run time: 262.52120184898376
