46500/60000 PDE Loss: 0.00048, BC Loss: 0.53214, total loss: 0.532619, neural network loss: 0.068698
47000/60000 PDE Loss: 0.00048, BC Loss: 0.52698, total loss: 0.527457, neural network loss: 0.068045
47500/60000 PDE Loss: 0.00047, BC Loss: 0.52196, total loss: 0.522431, neural network loss: 0.067428
48000/60000 PDE Loss: 0.00047, BC Loss: 0.51694, total loss: 0.517411, neural network loss: 0.066803
48500/60000 PDE Loss: 0.00047, BC Loss: 0.51198, total loss: 0.512448, neural network loss: 0.066205
49000/60000 PDE Loss: 0.00047, BC Loss: 0.50708, total loss: 0.507551, neural network loss: 0.065596
49500/60000 PDE Loss: 0.00046, BC Loss: 0.50217, total loss: 0.502637, neural network loss: 0.064997
50000/60000 PDE Loss: 0.00046, BC Loss: 0.49739, total loss: 0.497848, neural network loss: 0.064400
50500/60000 PDE Loss: 0.00046, BC Loss: 0.49256, total loss: 0.493021, neural network loss: 0.063794
51000/60000 PDE Loss: 0.00045, BC Loss: 0.48781, total loss: 0.488260, neural network loss: 0.063199
51500/60000 PDE Loss: 0.00045, BC Loss: 0.48312, total loss: 0.483571, neural network loss: 0.062621
52000/60000 PDE Loss: 0.00045, BC Loss: 0.47843, total loss: 0.478883, neural network loss: 0.062060
52500/60000 PDE Loss: 0.00045, BC Loss: 0.47384, total loss: 0.474284, neural network loss: 0.061510
53000/60000 PDE Loss: 0.00045, BC Loss: 0.46927, total loss: 0.469716, neural network loss: 0.060958
53500/60000 PDE Loss: 0.00044, BC Loss: 0.46475, total loss: 0.465195, neural network loss: 0.060413
54000/60000 PDE Loss: 0.00044, BC Loss: 0.46029, total loss: 0.460728, neural network loss: 0.059873
54500/60000 PDE Loss: 0.00044, BC Loss: 0.45582, total loss: 0.456262, neural network loss: 0.059316
55000/60000 PDE Loss: 0.00044, BC Loss: 0.45139, total loss: 0.451829, neural network loss: 0.058763
55500/60000 PDE Loss: 0.00043, BC Loss: 0.44702, total loss: 0.447452, neural network loss: 0.058215
56000/60000 PDE Loss: 0.00043, BC Loss: 0.44273, total loss: 0.443167, neural network loss: 0.057685
56500/60000 PDE Loss: 0.00043, BC Loss: 0.43844, total loss: 0.438870, neural network loss: 0.057155
57000/60000 PDE Loss: 0.00043, BC Loss: 0.43420, total loss: 0.434627, neural network loss: 0.056634
57500/60000 PDE Loss: 0.00043, BC Loss: 0.42998, total loss: 0.430409, neural network loss: 0.056120
58000/60000 PDE Loss: 0.00042, BC Loss: 0.42580, total loss: 0.426223, neural network loss: 0.055600
58500/60000 PDE Loss: 0.00042, BC Loss: 0.42167, total loss: 0.422091, neural network loss: 0.055110
59000/60000 PDE Loss: 0.00042, BC Loss: 0.41758, total loss: 0.417997, neural network loss: 0.054592
59500/60000 PDE Loss: 0.00042, BC Loss: 0.41351, total loss: 0.413928, neural network loss: 0.054091
run time: 1768.4005970954895
