3950/30000 PDE Loss: 0.31611, BC Loss: 4.84861,                   mse loss: 5.164723, combined loss: 0.01216
4000/30000 PDE Loss: 0.21064, BC Loss: 0.62818,                   mse loss: 0.838827, combined loss: -0.01046
4050/30000 PDE Loss: 0.02811, BC Loss: 0.73715,                   mse loss: 0.765252, combined loss: -0.00507
4100/30000 PDE Loss: 0.08810, BC Loss: 1.92758,                   mse loss: 2.015680, combined loss: -0.00069
4150/30000 PDE Loss: 0.42298, BC Loss: 3.94100,                   mse loss: 4.363984, combined loss: 0.01090
4200/30000 PDE Loss: 0.05389, BC Loss: 1.85180,                   mse loss: 1.905689, combined loss: 0.02590
4250/30000 PDE Loss: 0.58072, BC Loss: 5.60589,                   mse loss: 6.186604, combined loss: 1.18264
4300/30000 PDE Loss: 0.07900, BC Loss: 2.48279,                   mse loss: 2.561783, combined loss: 0.01380
4350/30000 PDE Loss: 0.07555, BC Loss: 0.53212,                   mse loss: 0.607679, combined loss: -0.00191
4400/30000 PDE Loss: 0.03680, BC Loss: 0.13170,                   mse loss: 0.168497, combined loss: 0.00765
4450/30000 PDE Loss: 0.08778, BC Loss: 0.62299,                   mse loss: 0.710766, combined loss: 0.00027
4500/30000 PDE Loss: 0.02716, BC Loss: 0.01827,                   mse loss: 0.045427, combined loss: -0.00150
4550/30000 PDE Loss: 0.04086, BC Loss: 0.06242,                   mse loss: 0.103280, combined loss: 0.00048
4600/30000 PDE Loss: 0.09149, BC Loss: 0.05483,                   mse loss: 0.146323, combined loss: -0.00123
4650/30000 PDE Loss: 3.09401, BC Loss: 135.33998,                   mse loss: 138.433990, combined loss: 11.37305
4700/30000 PDE Loss: 15.13063, BC Loss: 31.75903,                   mse loss: 46.889656, combined loss: -0.89036
4750/30000 PDE Loss: 11.79014, BC Loss: 16.96864,                   mse loss: 28.758785, combined loss: 0.01483
4800/30000 PDE Loss: 3.88450, BC Loss: 7.93870,                   mse loss: 11.823202, combined loss: 0.61394
4850/30000 PDE Loss: 3.70817, BC Loss: 6.09343,                   mse loss: 9.801603, combined loss: 0.02321
4900/30000 PDE Loss: 0.95961, BC Loss: 2.72650,                   mse loss: 3.686108, combined loss: 0.06379
4950/30000 PDE Loss: 0.35657, BC Loss: 0.54082,                   mse loss: 0.897390, combined loss: 0.01833
5000/30000 PDE Loss: 0.49072, BC Loss: 0.57289,                   mse loss: 1.063609, combined loss: 0.01563
5050/30000 PDE Loss: 0.03689, BC Loss: 1.47620,                   mse loss: 1.513083, combined loss: -0.00611
5100/30000 PDE Loss: 0.05376, BC Loss: 2.09822,                   mse loss: 2.151984, combined loss: -0.00739
5150/30000 PDE Loss: 0.05757, BC Loss: 1.33519,                   mse loss: 1.392760, combined loss: 0.02380
5200/30000 PDE Loss: 0.69060, BC Loss: 0.97187,                   mse loss: 1.662468, combined loss: -0.00014
5250/30000 PDE Loss: 0.09166, BC Loss: 0.32205,                   mse loss: 0.413716, combined loss: -0.01084
5300/30000 PDE Loss: 0.14041, BC Loss: 0.41630,                   mse loss: 0.556703, combined loss: -0.01326
5350/30000 PDE Loss: 0.05276, BC Loss: 0.41244,                   mse loss: 0.465203, combined loss: -0.00690
5400/30000 PDE Loss: 0.05385, BC Loss: 0.39931,                   mse loss: 0.453164, combined loss: 0.00179
5450/30000 PDE Loss: 0.06998, BC Loss: 0.21431,                   mse loss: 0.284284, combined loss: -0.00174
